"4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Leto, Spol, Gospodarske dejavnosti po SKD in Kazalnik",,,,,,,
,,,,,,,
,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
,B05 Pridobivanje premoga,1469,41285,6,23,80,28
,B06 Pridobivanje surove nafte in zemeljskega plina,-,-,-,-,-,-
,B07 Pridobivanje rud,4,29,1,3,36,7
,B08 Pridobivanje rudnin in kamnin,727,15998,4,14,62,22
,B09 Storitve za rudarstvo,162,3362,7,25,122,21
,C10 Proizvodnja živil,11502,270123,6,20,86,24
,C11 Proizvodnja pijaè,1684,33517,5,20,100,20
,C12 Proizvodnja tobaènih izdelkov,-,-,-,-,-,-
,C13 Proizvodnja tekstilij,6735,145160,7,24,111,22
,C14 Proizvodnja oblaèil,8174,188833,9,34,149,23
,"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov",4579,78540,6,21,121,17
,"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,",7786,180435,5,19,81,23
,C17 Proizvodnja papirja in izdelkov iz papirja,4358,84171,5,20,102,19
,C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa,4116,85594,5,17,82,21
,C19 Proizvodnja koksa in naftnih derivatov,95,1391,7,25,170,15
,"C20 Proizvodnja kemikalij, kemiènih izdelkov",6985,134825,5,19,99,19
,C21 Proizvodnja farmacevtskih surovin in preparatov,6586,94209,4,15,107,14
,C22 Proizvodnja izdelkov iz gume in plastiènih mas,10539,202532,5,16,86,19
,C23 Proizvodnja nekovinskih mineralnih izdelkov,7507,161334,6,21,98,22
,C24 Proizvodnja kovin,7874,160905,5,20,97,20
,"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav",24099,505232,4,16,76,21
,"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov",11208,166870,5,19,127,15
,C27 Proizvodnja elektriènih naprav,20908,367044,5,19,108,18
,C28 Proizvodnja drugih strojev in naprav,12582,242451,5,17,87,19
,"C29 Proizvodnja motornih vozil, prikolic in polprikolic",12990,235766,5,19,102,18
,C30 Proizvodnja drugih vozil in plovil,2026,36589,7,27,148,18
,C31 Proizvodnja pohištva,7768,176287,6,20,88,23
,C32 Druge raznovrstne predelovalne dejavnosti,2380,37277,4,14,91,16
,C33 Popravila in montaža strojev in naprav,1147,24039,3,10,46,21
,"D35 Oskrba z elektrièno energijo, plinom in paro",6572,104939,4,14,85,16
,"E36 Zbiranje, preèišèevanje in distribucija vode",3193,61848,4,14,75,19
,E37 Ravnanje z odplakami,261,6899,6,21,80,26
,"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj",3146,65921,4,16,74,21
,E39 Saniranje okolja in drugo ravnanje z odpadki,117,3715,4,16,51,32
,F41 Gradnja stavb,15957,383513,3,11,48,24
,F42 Gradnja inženirskih objektov,8294,166436,4,15,76,20
,F43 Specializirana gradbena dela,15307,407103,3,11,40,27
,G45 Trgovina z motornimi vozili in popravila motornih vozil,9605,177898,3,12,64,19
,"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili",26336,450072,3,10,58,17
,"G47 Trgovina na drobno, razen z motornimi vozili",39280,825725,4,15,70,21
,"H49 Kopenski promet, cevovodni transport",10277,297088,3,11,37,29
,H50 Vodni promet,322,5438,5,18,107,17
,H51 Zraèni promet,931,10853,3,13,108,12
,H52 Skladišèenje in spremljajoèe prometne dejavnosti,9112,141501,4,13,85,16
,H53 Poštna in kurirska dejavnost,7324,130857,5,17,95,18
,I55 Gostinske nastanitvene dejavnosti,7605,197433,6,21,80,26
,I56 Dejavnost strežbe jedi in pijaè,9919,268624,3,12,44,27
,J58 Založništvo,2766,34194,3,10,82,12
,"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi",495,8245,2,8,50,17
,J60 Radijska in televizijska dejavnost,2188,34228,4,13,83,16
,J61 Telekomunikacijske dejavnosti,4646,45661,3,10,98,10
,"J62 Raèunalniško programiranje, svetovanje in druge s tem…",5056,54270,2,7,61,11
,J63 Druge informacijske dejavnosti,1538,18745,3,10,81,12
,"K64 Dejavnosti finanènih storitev, razen zavarovalništva in deja",19684,218114,4,14,127,11
,"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado",7865,98910,4,16,125,13
,K66 Pomožne dejavnosti za finanène in zavarovalniške storitve,1959,25126,2,8,65,13
,L68 Poslovanje z nepremièninami,2099,44148,3,11,53,21
,M69 Pravne in raèunovodske dejavnosti,4661,80004,2,8,47,17
,"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje",4409,67577,2,8,50,15
,"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanj",10021,146449,3,9,63,15
,M72 Znanstvena raziskovalna in razvojna dejavnost,4210,44066,2,8,75,11
,M73 Oglaševanje in raziskovanje trga,2474,28760,2,9,75,12
,M74 Druge strokovne in tehniène dejavnosti,803,18311,2,9,37,23
,M75 Veterinarstvo,675,11319,4,14,83,17
,N77 Dajanje v najem in zakup,261,5280,3,9,46,20
,N78 Zaposlovalne dejavnosti,3958,47860,3,11,87,12
,"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s p",1026,20975,3,11,52,20
,N80 Varovanje in poizvedovalne dejavnosti,5065,119371,4,16,67,24
,N81 Dejavnost oskrbe stavb in okolice,6099,156995,5,19,74,26
,N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti,2345,37719,3,12,71,16
,"O84* Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti*",66493,825786,4,15,123,12
,P85 Izobraževanje,71423,893362,4,13,107,13
,Q86 Zdravstvo,36018,599166,4,16,95,17
,Q87 Socialno varstvo z nastanitvijo,11915,212284,5,19,107,18
,Q88 Socialno varstvo brez nastanitve,5094,75028,4,15,103,15
,R90 Kulturne in razvedrilne dejavnosti,2346,48118,3,9,44,21
,"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejav.",3354,38883,3,12,102,12
,R92 Prirejanje iger na sreèo,2686,39490,4,14,93,15
,R93 Športne in druge dejavnosti za prosti èas,1142,28179,2,8,34,25
,S94 Dejavnost èlanskih organizacij,1876,28186,2,8,56,15
,S95 Popravila raèunalnikov in izdelkov za široko rabo,356,10980,3,9,29,31
,S96 Druge storitvene dejavnosti,3811,97234,3,12,46,26
,T97 Dejavnost gospodinjstev z zaposlenim hišnim osebjem,-,-,-,-,-,-
,T98 Raznovrstna proizvodnja gospodinjstev za lastno rabo,-,-,-,-,-,-
,U99 Dejavnost eksteritorialnih organizacij in teles,-,-,-,-,-,-
,00 Ostalo (veèinoma zaposleni v tujini pri tujem delodajalcu),75551,1447029,-,-,-,-
2010,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",6301,229521,4,14,37,36
,B RUDARSTVO,2486,57678,5,20,85,23
,C PREDELOVALNE DEJAVNOSTI,180334,3421822,5,18,96,19
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",6765,110733,4,15,89,16
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",7670,157191,5,17,83,21
,F GRADBENIŠTVO,39834,973272,4,13,54,24
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",80279,1504341,4,14,73,19
,H PROMET IN SKLADIŠÈENJE,28760,619620,4,13,62,22
,I GOSTINSTVO,18430,473718,4,15,58,26
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,18233,205570,3,9,80,11
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,29985,324914,4,13,123,11
